s,f,a,add,del,temp,a_str,start,final
1,2,123,1,0,0,(+1),|1,1|1
1,3,125,1,0,0,(+2),|1,2|1
1,5,131,1,0,0,(+3),|1,3|1
1,9,149,1,0,0,(+4),|1,4|1
1,13,158,2,0,0,(+3  4),|1,3*4|1
1,17,203,1,0,0,(+5),|1,5|1
1,19,206,2,0,0,(+2  5),|1,2*5|1
2,5,131,1,0,0,(+3),1|1,3|1
2,9,149,1,0,0,(+4),1|1,4|1
2,13,158,2,0,0,(+3  4),1|1,3*4|1
3,2,123,1,0,0,(+1),2|1,1|1
3,5,131,1,0,0,(+3),2|1,3|1
3,9,149,1,0,0,(+4),2|1,4|1
3,13,158,2,0,0,(+3  4),2|1,3*4|1
3,17,200,1,1,0,(+5)(-2),2|1,5|1
3,19,203,1,0,0,(+5),2|1,2*5|1
5,13,149,1,0,0,(+4),3|1,3*4|1
9,13,131,1,0,0,(+3),4|1,3*4|1
17,2,123,1,0,0,(+1),5|1,1|1
17,3,44,1,1,0,(+2)(-5),5|1,2|1
17,5,131,1,0,0,(+3),5|1,3|1
17,9,149,1,0,0,(+4),5|1,4|1
17,13,158,2,0,0,(+3  4),5|1,3*4|1
17,19,125,1,0,0,(+2),5|1,2*5|1
19,2,123,1,0,0,(+1),2*5|1,1|1
19,3,41,0,1,0,(-5),2*5|1,2|1
19,5,131,1,0,0,(+3),2*5|1,3|1
19,9,149,1,0,0,(+4),2*5|1,4|1
19,13,158,2,0,0,(+3  4),2*5|1,3*4|1
19,17,119,0,1,0,(-2),2*5|1,5|1
